datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2015-08-20 12:00:00.000,18.85,18.85,NULL,667.1,667.1,NULL,7.8,7.8,NULL,9.78,9.78,NULL,0.85,0.85,NULL,25.06,25.06,NULL
2015-08-20 12:15:00.000,19.08,19.08,NULL,666.6,666.6,NULL,7.81,7.81,NULL,9.87,9.87,NULL,0.69,0.69,NULL,25.11,25.11,NULL
2015-08-20 12:30:00.000,19.28,19.28,NULL,666.3,666.3,NULL,7.82,7.82,NULL,9.95,9.95,NULL,0.74,0.74,NULL,25.2,25.2,NULL
2015-08-20 12:45:00.000,19.45,19.45,NULL,665.7,665.7,NULL,7.83,7.83,NULL,10.02,10.02,NULL,0.58,0.58,NULL,25.29,25.29,NULL
2015-08-20 13:00:00.000,19.62,19.62,NULL,665,665,NULL,7.84,7.84,NULL,10.08,10.08,NULL,0.64,0.64,NULL,25.35,25.35,NULL
2015-08-20 13:15:00.000,19.75,19.75,NULL,664.5,664.5,NULL,7.85,7.85,NULL,10.08,10.08,NULL,0.53,0.53,NULL,25.36,25.36,NULL
2015-08-20 13:30:00.000,19.85,19.85,NULL,664,664,NULL,7.85,7.85,NULL,10.1,10.1,NULL,0.58,0.58,NULL,25.38,25.38,NULL
2015-08-20 13:45:00.000,19.95,19.95,NULL,663.2,663.2,NULL,7.86,7.86,NULL,10.08,10.08,NULL,0.67,0.67,NULL,25.43,25.43,NULL
2015-08-20 14:00:00.000,20.03,20.03,NULL,662.5,662.5,NULL,7.87,7.87,NULL,10.07,10.07,NULL,0.57,0.57,NULL,25.45,25.45,NULL
2015-08-20 14:15:00.000,20.14,20.14,NULL,661.9,661.9,NULL,7.86,7.86,NULL,10.02,10.02,NULL,0.54,0.54,NULL,25.49,25.49,NULL
2015-08-20 14:30:00.000,20.17,20.17,NULL,661.3,661.3,NULL,7.86,7.86,NULL,9.96,9.96,NULL,0.49,0.49,NULL,25.46,25.46,NULL
2015-08-20 14:45:00.000,20.16,20.16,NULL,660.5,660.5,NULL,7.86,7.86,NULL,9.89,9.89,NULL,0.45,0.45,NULL,25.43,25.43,NULL
2015-08-20 15:00:00.000,20.12,20.12,NULL,660,660,NULL,7.85,7.85,NULL,9.73,9.73,NULL,0.46,0.46,NULL,25.43,25.43,NULL
2015-08-20 15:15:00.000,20.12,20.12,NULL,659.6,659.6,NULL,7.85,7.85,NULL,9.62,9.62,NULL,0.74,0.74,NULL,25.41,25.41,NULL
2015-08-20 15:30:00.000,20.07,20.07,NULL,659.1,659.1,NULL,7.84,7.84,NULL,9.52,9.52,NULL,0.52,0.52,NULL,25.38,25.38,NULL
2015-08-20 15:45:00.000,19.94,19.94,NULL,658.4,658.4,NULL,7.84,7.84,NULL,9.34,9.34,NULL,0.68,0.68,NULL,25.34,25.34,NULL
2015-08-20 16:00:00.000,19.83,19.83,NULL,658.6,658.6,NULL,7.82,7.82,NULL,9.13,9.13,NULL,4.26,4.26,NULL,25.29,25.29,NULL
2015-08-20 16:15:00.000,19.66,19.66,NULL,658.1,658.1,NULL,7.81,7.81,NULL,8.89,8.89,NULL,2.13,2.13,NULL,25.26,25.26,NULL
2015-08-20 16:30:00.000,19.49,19.49,NULL,658,658,NULL,7.79,7.79,NULL,8.67,8.67,NULL,1.02,1.02,NULL,25.18,25.18,NULL
2015-08-20 16:45:00.000,19.33,19.33,NULL,657.8,657.8,NULL,7.78,7.78,NULL,8.46,8.46,NULL,0.85,0.85,NULL,25.12,25.12,NULL
2015-08-20 17:00:00.000,19.21,19.21,NULL,657.7,657.7,NULL,7.77,7.77,NULL,8.27,8.27,NULL,0.74,0.74,NULL,25.12,25.12,NULL
2015-08-20 17:15:00.000,19.06,19.06,NULL,657.5,657.5,NULL,7.75,7.75,NULL,8.08,8.08,NULL,0.74,0.74,NULL,25.06,25.06,NULL
2015-08-20 17:30:00.000,18.89,18.89,NULL,657.6,657.6,NULL,7.74,7.74,NULL,7.86,7.86,NULL,0.65,0.65,NULL,24.99,24.99,NULL
2015-08-20 17:45:00.000,18.72,18.72,NULL,658,658,NULL,7.73,7.73,NULL,7.64,7.64,NULL,0.57,0.57,NULL,24.9,24.9,NULL
2015-08-20 18:00:00.000,18.53,18.53,NULL,658.2,658.2,NULL,7.71,7.71,NULL,7.37,7.37,NULL,0.54,0.54,NULL,24.8,24.8,NULL
2015-08-20 18:15:00.000,18.34,18.34,NULL,658.6,658.6,NULL,7.69,7.69,NULL,7.03,7.03,NULL,0.56,0.56,NULL,24.7,24.7,NULL
2015-08-20 18:30:00.000,18.19,18.19,NULL,659.1,659.1,NULL,7.67,7.67,NULL,6.72,6.72,NULL,0.58,0.58,NULL,24.67,24.67,NULL
2015-08-20 18:45:00.000,18.03,18.03,NULL,659.5,659.5,NULL,7.65,7.65,NULL,6.39,6.39,NULL,0.58,0.58,NULL,24.64,24.64,NULL
2015-08-20 19:00:00.000,17.91,17.91,NULL,660.1,660.1,NULL,7.63,7.63,NULL,6.09,6.09,NULL,0.63,0.63,NULL,24.55,24.55,NULL
