datetime,temp,cond,ph,do
2017-01-01 00:00,0.72,310.5,8.31,NULL
2017-01-01 00:15,0.68,310.6,8.31,10.86
2017-01-01 00:30,0.64,310.6,8.31,10.87
2017-01-01 00:45,0.61,310.6,8.31,10.87
2017-01-01 01:00,0.58,310.7,8.31,10.89
2017-01-01 01:15,0.56,310.6,8.31,10.89
2017-01-01 01:30,0.53,310.7,8.31,10.89
2017-01-01 01:45,0.51,310.8,8.31,10.9
2017-01-01 02:00,0.49,310.8,8.3,10.9
2017-01-01 02:15,0.48,310.8,8.31,10.9
2017-01-01 02:30,0.48,310.8,8.31,10.91
2017-01-01 02:45,0.49,310.8,8.31,10.9
2017-01-01 03:00,0.48,310.8,8.31,10.9
2017-01-01 03:15,0.5,310.8,8.31,10.89
2017-01-01 03:30,0.5,310.8,8.31,10.89
2017-01-01 03:45,0.52,310.6,8.31,10.88
2017-01-01 04:00,0.53,310.6,8.31,10.87
2017-01-01 04:15,0.55,310.6,8.3,10.86
2017-01-01 04:30,0.58,310.5,8.3,10.86
2017-01-01 04:45,0.59,310.5,8.31,10.84
2017-01-01 05:00,0.62,310.4,8.31,10.83
2017-01-01 05:15,0.64,310.3,8.3,10.82
2017-01-01 05:30,0.65,310.3,8.3,10.82
2017-01-01 05:45,0.68,310.3,8.3,10.81
2017-01-01 06:00,0.7,310.3,8.3,10.8
2017-01-01 06:15,0.73,310.2,8.3,10.79
2017-01-01 06:30,0.75,310.1,8.3,10.78
2017-01-01 06:45,0.8,309.9,8.3,10.77
2017-01-01 07:00,0.87,310,8.3,10.75
2017-01-01 07:15,0.96,310,8.3,10.73
2017-01-01 07:30,1.03,309.8,8.29,10.7
2017-01-01 07:45,1.08,309.6,8.3,10.69
2017-01-01 08:00,1.15,309.4,8.3,10.7
2017-01-01 08:15,1.2,309.2,8.31,10.76
2017-01-01 08:30,1.25,308.7,8.33,10.82
2017-01-01 08:45,1.31,308,8.35,10.94
2017-01-01 09:00,1.39,307.1,8.38,11.05
2017-01-01 09:15,1.49,306.9,8.4,11.1
2017-01-01 09:30,1.6,306.3,8.43,11.11
2017-01-01 09:45,1.72,305.8,8.45,11.17
2017-01-01 10:00,1.85,304.9,8.47,11.16
2017-01-01 10:15,1.96,304,8.5,11.18
2017-01-01 10:30,2.09,303.7,8.51,11.12
2017-01-01 10:45,2.2,303.1,8.52,11.1
2017-01-01 11:00,2.29,302.7,8.53,11.08
2017-01-01 11:15,2.39,302.4,8.54,11.07
2017-01-01 11:30,2.48,302.1,8.55,10.99
2017-01-01 11:45,2.58,301.7,8.56,11
2017-01-01 12:00,2.69,301.2,8.57,11.05
2017-01-01 12:15,2.8,300.9,8.59,11.1
2017-01-01 12:30,2.9,300.4,8.6,11.1
2017-01-01 12:45,2.98,300.1,8.61,11.07
2017-01-01 13:00,3.08,299.7,8.61,11.04
2017-01-01 13:15,3.16,299.4,8.62,11.03
2017-01-01 13:30,3.26,298.9,8.63,11.04
2017-01-01 13:45,3.37,298.7,8.63,11.04
2017-01-01 14:00,3.42,299,8.63,10.98
2017-01-01 14:15,3.45,298.9,8.64,10.97
2017-01-01 14:30,3.5,298.7,8.64,11
2017-01-01 14:45,3.54,298.6,8.64,11
2017-01-01 15:00,3.53,298.8,8.64,10.91
2017-01-01 15:15,3.53,299.1,8.62,10.77
2017-01-01 15:30,3.52,300,8.6,10.6
2017-01-01 15:45,3.49,300.8,8.57,10.51
2017-01-01 16:00,3.46,301.6,8.54,10.43
2017-01-01 16:15,3.39,302.5,8.51,10.39
2017-01-01 16:30,3.32,303,8.48,10.31
2017-01-01 16:45,3.26,303.9,8.45,10.22
2017-01-01 17:00,3.2,304.9,8.41,10.13
2017-01-01 17:15,3.13,305.7,8.38,10.08
2017-01-01 17:30,3.04,306.2,8.36,10.06
2017-01-01 17:45,2.96,306.7,8.34,10.06
2017-01-01 18:00,2.9,307.1,8.32,10.07
2017-01-01 18:15,2.84,307.3,8.31,10.09
2017-01-01 18:30,2.7,307.2,8.31,10.1
2017-01-01 18:45,2.69,307,8.3,10.13
2017-01-01 19:00,2.72,307.1,8.3,10.14
2017-01-01 19:15,2.68,307.2,8.3,10.15
2017-01-01 19:30,2.65,307.2,8.29,10.15
2017-01-01 19:45,2.53,306.7,8.29,10.17
2017-01-01 20:00,2.49,306.7,8.29,10.2
2017-01-01 20:15,2.33,306.3,8.29,10.22
2017-01-01 20:30,2.23,305.8,8.29,10.25
2017-01-01 20:45,2.21,305.6,8.29,10.28
2017-01-01 21:00,2.22,305.3,8.29,10.29
2017-01-01 21:15,2.23,305.3,8.29,10.29
2017-01-01 21:30,2.24,305.4,8.29,10.29
2017-01-01 21:45,2.24,305.6,8.29,10.28
2017-01-01 22:00,2.24,305.6,8.29,10.28
2017-01-01 22:15,2.2,305.6,8.29,10.29
2017-01-01 22:30,2.17,305.7,8.29,10.28
2017-01-01 22:45,2.18,305.8,8.29,10.29
2017-01-01 23:00,2.15,305.9,8.29,10.29
2017-01-01 23:15,2.11,305.8,8.29,10.29
2017-01-01 23:30,1.98,305.5,8.29,10.3
2017-01-01 23:45,1.9,305,8.29,10.34
2017-01-02 00:00,1.87,305.1,8.29,10.36
2017-01-02 00:15,1.8,304.6,8.29,10.38
2017-01-02 00:30,1.84,304.7,8.29,10.4
2017-01-02 00:45,1.89,304.8,8.29,10.39
2017-01-02 01:00,1.9,304.9,8.29,10.39
2017-01-02 01:15,1.93,305.2,8.29,10.39
2017-01-02 01:30,1.95,305.5,8.3,10.38
2017-01-02 01:45,1.99,305.9,8.29,10.36
2017-01-02 02:00,2.03,306.2,8.29,10.36
2017-01-02 02:15,2.03,306.4,8.29,10.35
2017-01-02 02:30,2.02,306.5,8.29,10.35
2017-01-02 02:45,2.03,306.9,8.29,10.35
2017-01-02 03:00,2.02,307,8.29,10.36
2017-01-02 03:15,2.05,307.2,8.29,10.36
2017-01-02 03:30,2.07,307.5,8.29,10.35
2017-01-02 03:45,2.07,307.6,8.29,10.36
2017-01-02 04:00,2.07,307.7,8.29,10.36
2017-01-02 04:15,2.07,307.8,8.29,10.37
2017-01-02 04:30,2.09,307.9,8.29,10.36
2017-01-02 04:45,2.1,308.1,8.29,10.35
2017-01-02 05:00,2.1,308,8.29,10.34
2017-01-02 05:15,2.1,308,8.29,10.34
