datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2020-01-01 00:00:00.000,2.37,2.37,NULL,334.4,334.4,NULL,8.44,8.46749736008448,NULL,10.45,10.45,NULL,3.24,3.24,NULL,21.42,13.03,NULL
2020-01-01 00:15:00.000,2.34,2.34,NULL,335.2,335.2,NULL,8.44,8.4675033941771,NULL,10.46,10.46,NULL,3.46,3.46,NULL,21.43,13.04,NULL
2020-01-01 00:30:00.000,2.32,2.32,NULL,334.3,334.3,NULL,8.44,8.46750942826972,NULL,10.46,10.46,NULL,3.34,3.34,NULL,21.42,13.03,NULL
2020-01-01 00:45:00.000,2.29,2.29,NULL,334,334,NULL,8.44,8.46751546236235,NULL,10.47,10.47,NULL,3.26,3.26,NULL,21.43,13.04,NULL
2020-01-01 01:00:00.000,2.27,2.27,NULL,334.8,334.8,NULL,8.44,8.46752149645497,NULL,10.47,10.47,NULL,3.5,3.5,NULL,21.44,13.05,NULL
2020-01-01 01:15:00.000,2.19,2.19,NULL,334.6,334.6,NULL,8.44,8.46752753054759,NULL,10.47,10.47,NULL,3.35,3.35,NULL,21.51,13.12,NULL
2020-01-01 01:30:00.000,2.09,2.09,NULL,333.1,333.1,NULL,8.44,8.46753356464022,NULL,10.48,10.48,NULL,3.73,3.73,NULL,21.5,13.11,NULL
2020-01-01 01:45:00.000,2.03,2.03,NULL,332.7,332.7,NULL,8.44,8.46753959873284,NULL,10.51,10.51,NULL,3.46,3.46,NULL,21.52,13.13,NULL
2020-01-01 02:00:00.000,2.02,2.02,NULL,332.5,332.5,NULL,8.44,8.46754563282546,NULL,10.53,10.53,NULL,3.34,3.34,NULL,21.54,13.15,NULL
2020-01-01 02:15:00.000,2.04,2.04,NULL,332.2,332.2,NULL,8.44,8.46755166691809,NULL,10.54,10.54,NULL,3.4,3.4,NULL,21.51,13.12,NULL
2020-01-01 02:30:00.000,2.04,2.04,NULL,332.2,332.2,NULL,8.44,8.46755770101071,NULL,10.53,10.53,NULL,3.3,3.3,NULL,21.49,13.1,NULL
2020-01-01 02:45:00.000,2.05,2.05,NULL,332,332,NULL,8.44,8.46756373510333,NULL,10.53,10.53,NULL,3.52,3.52,NULL,21.54,13.15,NULL
2020-01-01 03:00:00.000,2.01,2.01,NULL,331.9,331.9,NULL,8.44,8.46756976919596,NULL,10.53,10.53,NULL,3.51,3.51,NULL,21.51,13.12,NULL
2020-01-01 03:15:00.000,2.01,2.01,NULL,332.2,332.2,NULL,8.44,8.46757580328858,NULL,10.53,10.53,NULL,3.23,3.23,NULL,21.52,13.13,NULL
2020-01-01 03:30:00.000,2,2,NULL,332,332,NULL,8.44,8.4675818373812,NULL,10.53,10.53,NULL,3.37,3.37,NULL,21.51,13.12,NULL
2020-01-01 03:45:00.000,1.95,1.95,NULL,331.7,331.7,NULL,8.44,8.46758787147383,NULL,10.53,10.53,NULL,3.42,3.42,NULL,21.56,13.17,NULL
2020-01-01 04:00:00.000,1.88,1.88,NULL,331.6,331.6,NULL,8.44,8.46759390556645,NULL,10.54,10.54,NULL,3.34,3.34,NULL,21.57,13.18,NULL
2020-01-01 04:15:00.000,1.9,1.9,NULL,331,331,NULL,8.44,8.46759993965907,NULL,10.55,10.55,NULL,3.26,3.26,NULL,21.55,13.16,NULL
