datetime,temp,cond,ph,do
2018-01-01 00:00,2.19,381.9,8.47,11.82
2018-01-01 00:15,2.15,382,8.47,11.83
2018-01-01 00:30,2.11,382.2,8.46,11.84
2018-01-01 00:45,2.07,382.6,8.46,11.85
2018-01-01 01:00,2.02,382.7,8.46,11.86
2018-01-01 01:15,1.98,382.7,8.46,11.87
2018-01-01 01:30,1.94,382.9,8.46,11.89
2018-01-01 01:45,1.91,382.8,8.46,11.9
2018-01-01 02:00,1.88,383,8.46,11.91
2018-01-01 02:15,1.83,383,8.47,11.93
2018-01-01 02:30,1.79,383.1,8.47,11.94
2018-01-01 02:45,1.76,383.1,8.46,11.95
2018-01-01 03:00,1.72,383.2,8.46,11.97
2018-01-01 03:15,1.68,383.2,8.46,11.98
2018-01-01 03:30,1.64,383.1,8.46,11.99
2018-01-01 03:45,1.62,383.2,8.46,12
2018-01-01 04:00,1.6,383.1,8.46,12
2018-01-01 04:15,1.59,383.1,8.46,12.01
2018-01-01 04:30,1.56,383.1,8.46,12.01
2018-01-01 04:45,1.53,383.1,8.45,12.02
2018-01-01 05:00,1.51,383.1,8.45,12.02
2018-01-01 05:15,1.5,383.2,8.45,12.03
2018-01-01 05:30,1.48,383.3,8.45,12.03
2018-01-01 05:45,1.47,383.4,8.45,12.03
2018-01-01 06:00,1.45,383.5,8.45,12.04
2018-01-01 06:15,1.45,383.5,8.45,12.04
2018-01-01 06:30,1.45,383.6,8.45,12.04
2018-01-01 06:45,1.44,383.7,8.45,12.05
2018-01-01 07:00,1.43,383.8,8.44,12.05
2018-01-01 07:15,1.43,383.9,8.45,12.05
2018-01-01 07:30,1.42,384,8.44,12.05
2018-01-01 07:45,1.41,384.1,8.44,12.06
2018-01-01 08:00,1.41,384.2,8.44,12.07
2018-01-01 08:15,1.41,384.2,8.45,12.09
2018-01-01 08:30,1.43,384.1,8.45,12.14
2018-01-01 08:45,1.46,384.1,8.46,12.24
2018-01-01 09:00,1.5,383.9,8.48,12.34
2018-01-01 09:15,1.55,383.7,8.5,12.46
2018-01-01 09:30,1.6,383.3,8.51,12.59
2018-01-01 09:45,1.63,382.9,8.53,12.67
2018-01-01 10:00,1.68,382.4,8.55,12.75
2018-01-01 10:15,1.74,381.8,8.57,12.83
