datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2020-01-01 00:00:00.000,1.76,NULL,NULL,388,NULL,NULL,8.4,NULL,NULL,11.8,11.6027774238757,NULL,3.88,NULL,NULL,40.52,44.29,NULL
2020-01-01 00:15:00.000,1.79,NULL,NULL,387.9,NULL,NULL,8.4,NULL,NULL,11.78,11.5827264619697,NULL,3.88,NULL,NULL,40.41,44.18,NULL
2020-01-01 00:30:00.000,1.8,NULL,NULL,388,NULL,NULL,8.4,NULL,NULL,11.77,11.5726755000637,NULL,4.22,NULL,NULL,40.36,44.13,NULL
2020-01-01 00:45:00.000,1.83,NULL,NULL,387.8,NULL,NULL,8.4,NULL,NULL,11.76,11.5626245381577,NULL,4,NULL,NULL,40.22,43.99,NULL
2020-01-01 01:00:00.000,1.85,NULL,NULL,387.8,NULL,NULL,8.4,NULL,NULL,11.75,11.5525735762518,NULL,3.91,NULL,NULL,40.2,43.97,NULL
2020-01-01 01:15:00.000,1.87,NULL,NULL,387.7,NULL,NULL,8.4,NULL,NULL,11.73,11.5325226143458,NULL,3.91,NULL,NULL,40.12,43.89,NULL
2020-01-01 01:30:00.000,1.88,NULL,NULL,387.7,NULL,NULL,8.4,NULL,NULL,11.72,11.5224716524398,NULL,3.82,NULL,NULL,39.95,43.72,NULL
2020-01-01 01:45:00.000,1.89,NULL,NULL,387.9,NULL,NULL,8.39,NULL,NULL,11.71,11.5124206905338,NULL,3.91,NULL,NULL,39.84,43.61,NULL
2020-01-01 02:00:00.000,1.9,NULL,NULL,387.2,NULL,NULL,8.4,NULL,NULL,11.7,11.5023697286278,NULL,3.72,NULL,NULL,39.76,43.53,NULL
2020-01-01 02:15:00.000,1.92,NULL,NULL,386.9,NULL,NULL,8.39,NULL,NULL,11.69,11.4923187667219,NULL,3.73,NULL,NULL,39.69,43.46,NULL
2020-01-01 02:30:00.000,1.94,NULL,NULL,386.6,NULL,NULL,8.39,NULL,NULL,11.68,11.4822678048159,NULL,3.74,NULL,NULL,39.59,43.36,NULL
2020-01-01 02:45:00.000,1.97,NULL,NULL,386.6,NULL,NULL,8.39,NULL,NULL,11.66,11.4622168429099,NULL,3.91,NULL,NULL,39.58,43.35,NULL
2020-01-01 03:00:00.000,1.98,NULL,NULL,386.1,NULL,NULL,8.38,NULL,NULL,11.66,11.4621658810039,NULL,3.77,NULL,NULL,39.5,43.27,NULL
2020-01-01 03:15:00.000,2,NULL,NULL,385.8,NULL,NULL,8.38,NULL,NULL,11.65,11.452114919098,NULL,3.95,NULL,NULL,39.47,43.24,NULL
