DO,,
start,end,gap
2014-02-26 15:00,2014-04-24 12:00,-0.3
2014-07-09 14:15,2014-07-29 13:00,-0.06
2015-01-01 00:00,2015-01-06 14:15,-0.3
2015-01-06 14:15,2015-01-22 11:30,-0.17
2015-01-22 11:30,2015-02-05 13:30,0.1
2015-05-27 13:30,2015-06-10 14:30,-0.24
2015-06-10 14:30,2015-06-23 10:30,0.23
2015-09-05 13:00,2015-09-19 11:30,-0.4
2016-01-09 11:15,2016-02-06 11:15,-0.2
2016-02-06 11:30,2016-02-20 12:30,0.26
2017-01-01 00:00,2017-01-15 14:00,-0.25
2017-03-18 12:15,2017-04-22 14:45,-0.16
2017-06-28 15:00,2017-08-10 12:45,0.125
