pH,,
start,end,gap
2014-03-21 10:30,2014-04-24 12:15,-0.09
2014-04-24 13:45,2014-06-04 11:45,-0.05
2014-07-01 00:00,2014-07-09 14:15,-0.08
2014-07-09 14:15,2014-07-29 13:45,-0.10
2014-07-29 14:15,2014-08-13 13:00,-0.10
2014-08-13 14:00,2014-08-28 13:15,-0.10
2014-08-28 13:45,2014-09-17 13:45,-0.15
2014-09-17 15:00,2014-09-30 12:45,-0.10
2014-10-14 11:00,2014-10-31 11:00,-0.10
2014-10-31 12:00,2014-11-13 11:15,-0.20
2014-11-13 12:45,2014-12-04 12:00,-0.70
2015-03-05 12:15,2015-03-19 11:15,0.04
2015-05-12 15:45,2015-05-27 12:30,-0.04
2015-06-10 14:45,2015-06-23 10:30,-0.07
2015-06-23 10:30,2015-07-07 10:15,-0.03
2015-07-07 10:15,2015-07-21 10:30,-0.09
2015-08-04 11:30,2015-08-17 11:15,-0.05
2015-08-17 11:15,2015-09-05 12:00,-0.07
2015-09-19 12:30,2015-10-01 11:15,-0.13
2015-10-01 11:15,2015-10-17 11:30,0.03
2015-10-17 11:30,2015-10-31 13:15,-0.11
2015-10-31 13:15,2015-11-14 14:00,0.13
2016-01-09 11:00,2016-02-16 12:00,-0.05
2016-02-06 12:00,2016-02-20 12:30,-0.04
2016-03-05 11:00,2016-04-02 08:15,-0.14
2016-04-02 08:15,2016-04-30 07:45,0.03
2016-07-20 13:00,2016-08-24 14:30,-0.11
2016-08-24 14:30,2016-09-24 13:30,-0.07
2016-10-01 00:00,2016-11-05 11:15,-0.03
2016-11-25 14:30,2017-01-15 14:00,-0.32
2017-01-15 14:00,2017-02-11 13:30,0.14
2017-02-11 13:30,2017-02-25 12:45,-0.01
2017-02-11 13:30,2017-03-18 12:15,-0.04
2017-03-18 12:30,2017-04-22 14:45,-0.04
2017-04-22 16:00,2017-06-28 15:45,-0.07
2017-06-28 15:45,2017-08-10 12:45,-0.08
2017-06-28 15:45,2017-10-03 15:00,-0.04
2017-10-03 15:00,2017-11-14 16:45,-0.05
2017-12-18 14:30,2018-02-27 14:45,-0.10
2018-10-08 15:15,2018-12-12 13:45,-0.21
2018-12-12 00:00,2019-01-08 15:30,0.07
2019-04-25 17:15,2019-06-28 13:15,-0.20
2019-06-28 13:15,2019-07-31 13:00,-0.19
2019-07-31 13:15,2019-08-15 14:45,0.19
2019-08-20 14:15,2019-09-23 12:45,-0.20
