datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2020-01-01 00:00:00.000,-0.01,NULL,NULL,367.8,NULL,NULL,8.53,NULL,NULL,11.28,NULL,NULL,5.11,NULL,NULL,90.3,-9999,5
2020-01-01 00:15:00.000,-0.01,NULL,NULL,368,NULL,NULL,8.53,NULL,NULL,11.28,NULL,NULL,5.45,NULL,NULL,90.3,-9999,5
2020-01-01 00:30:00.000,-0.01,NULL,NULL,368.3,NULL,NULL,8.53,NULL,NULL,11.27,NULL,NULL,4.95,NULL,NULL,90,-9999,5
2020-01-01 00:45:00.000,-0.01,NULL,NULL,368.5,NULL,NULL,8.52,NULL,NULL,11.27,NULL,NULL,4.53,NULL,NULL,90,-9999,5
2020-01-01 01:00:00.000,-0.01,NULL,NULL,368.8,NULL,NULL,8.52,NULL,NULL,11.27,NULL,NULL,5.34,NULL,NULL,90,-9999,5
2020-01-01 01:15:00.000,-0.01,NULL,NULL,369,NULL,NULL,8.52,NULL,NULL,11.26,NULL,NULL,4.88,NULL,NULL,89.8,-9999,5
2020-01-01 01:30:00.000,-0.01,NULL,NULL,369.1,NULL,NULL,8.52,NULL,NULL,11.26,NULL,NULL,4.74,NULL,NULL,90.2,-9999,5
2020-01-01 01:45:00.000,-0.01,NULL,NULL,369.3,NULL,NULL,8.52,NULL,NULL,11.26,NULL,NULL,4.84,NULL,NULL,90.1,-9999,5
2020-01-01 02:00:00.000,-0.01,NULL,NULL,369.4,NULL,NULL,8.51,NULL,NULL,11.26,NULL,NULL,4.81,NULL,NULL,89.9,-9999,5
2020-01-01 02:15:00.000,-0.01,NULL,NULL,369.6,NULL,NULL,8.52,NULL,NULL,11.25,NULL,NULL,4.74,NULL,NULL,89.7,-9999,5
2020-01-01 02:30:00.000,-0.01,NULL,NULL,369.7,NULL,NULL,8.52,NULL,NULL,11.24,NULL,NULL,5.13,NULL,NULL,89.7,-9999,5
2020-01-01 02:45:00.000,-0.01,NULL,NULL,369.7,NULL,NULL,8.51,NULL,NULL,11.23,NULL,NULL,4.48,NULL,NULL,89.6,-9999,5
2020-01-01 03:00:00.000,-0.01,NULL,NULL,369.8,NULL,NULL,8.51,NULL,NULL,11.24,NULL,NULL,4.74,NULL,NULL,89.6,-9999,5
2020-01-01 03:15:00.000,-0.01,NULL,NULL,369.8,NULL,NULL,8.51,NULL,NULL,11.23,NULL,NULL,4.65,NULL,NULL,89.6,-9999,5
2020-01-01 03:30:00.000,-0.01,NULL,NULL,369.8,NULL,NULL,8.51,NULL,NULL,11.22,NULL,NULL,5.03,NULL,NULL,89.6,-9999,5
2020-01-01 03:45:00.000,-0.01,NULL,NULL,369.8,NULL,NULL,8.51,NULL,NULL,11.22,NULL,NULL,4.94,NULL,NULL,89.6,-9999,5
2020-01-01 04:00:00.000,-0.01,NULL,NULL,369.8,NULL,NULL,8.51,NULL,NULL,11.22,NULL,NULL,5.31,NULL,NULL,89.6,-9999,5
2020-01-01 04:15:00.000,-0.01,NULL,NULL,369.9,NULL,NULL,8.51,NULL,NULL,11.22,NULL,NULL,4.62,NULL,NULL,89.6,-9999,5
2020-01-01 04:30:00.000,-0.01,NULL,NULL,370,NULL,NULL,8.51,NULL,NULL,11.21,NULL,NULL,4.69,NULL,NULL,89.8,-9999,5
2020-01-01 04:45:00.000,-0.01,NULL,NULL,370.1,NULL,NULL,8.51,NULL,NULL,11.2,NULL,NULL,4.64,NULL,NULL,89.9,-9999,5
