datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2020-01-01 00:00:00.000,2.25,NULL,NULL,368.1,NULL,NULL,8.34,NULL,NULL,11.51,11.51,NULL,2.95,NULL,NULL,67.67,37.89,NULL
2020-01-01 00:15:00.000,2.27,NULL,NULL,368,NULL,NULL,8.33,NULL,NULL,11.48,11.48,NULL,2.94,NULL,NULL,67.55,37.77,NULL
2020-01-01 00:30:00.000,2.29,NULL,NULL,367.8,NULL,NULL,8.33,NULL,NULL,11.46,11.46,NULL,3,NULL,NULL,67.43,37.65,NULL
2020-01-01 00:45:00.000,2.31,NULL,NULL,367.6,NULL,NULL,8.33,NULL,NULL,11.43,11.43,NULL,2.97,NULL,NULL,67.23,37.45,NULL
2020-01-01 01:00:00.000,2.32,NULL,NULL,367.4,NULL,NULL,8.32,NULL,NULL,11.41,11.41,NULL,2.94,NULL,NULL,67.07,37.29,NULL
2020-01-01 01:15:00.000,2.33,NULL,NULL,367.2,NULL,NULL,8.32,NULL,NULL,11.39,11.39,NULL,2.84,NULL,NULL,67.01,37.23,NULL
2020-01-01 01:30:00.000,2.34,NULL,NULL,366.9,NULL,NULL,8.31,NULL,NULL,11.36,11.36,NULL,2.98,NULL,NULL,67.03,37.25,NULL
2020-01-01 01:45:00.000,2.33,NULL,NULL,366.7,NULL,NULL,8.31,NULL,NULL,11.35,11.35,NULL,3.03,NULL,NULL,66.87,37.09,NULL
2020-01-01 02:00:00.000,2.33,NULL,NULL,366.5,NULL,NULL,8.3,NULL,NULL,11.34,11.34,NULL,3.09,NULL,NULL,66.86,37.08,NULL
2020-01-01 02:15:00.000,2.35,NULL,NULL,366.2,NULL,NULL,8.3,NULL,NULL,11.33,11.33,NULL,2.8,NULL,NULL,66.77,36.99,NULL
2020-01-01 02:30:00.000,2.35,NULL,NULL,366,NULL,NULL,8.29,NULL,NULL,11.32,11.32,NULL,2.85,NULL,NULL,66.84,37.06,NULL
2020-01-01 02:45:00.000,2.35,NULL,NULL,365.7,NULL,NULL,8.29,NULL,NULL,11.32,11.32,NULL,2.74,NULL,NULL,66.77,36.99,NULL
2020-01-01 03:00:00.000,2.35,NULL,NULL,365.4,NULL,NULL,8.29,NULL,NULL,11.31,11.31,NULL,2.73,NULL,NULL,66.58,36.8,NULL
2020-01-01 03:15:00.000,2.35,NULL,NULL,365.1,NULL,NULL,8.28,NULL,NULL,11.3,11.3,NULL,2.71,NULL,NULL,66.57,36.79,NULL
2020-01-01 03:30:00.000,2.33,NULL,NULL,364.7,NULL,NULL,8.28,NULL,NULL,11.31,11.31,NULL,2.59,NULL,NULL,66.47,36.69,NULL
2020-01-01 03:45:00.000,2.31,NULL,NULL,364.5,NULL,NULL,8.28,NULL,NULL,11.31,11.31,NULL,2.63,NULL,NULL,66.53,36.75,NULL
2020-01-01 04:00:00.000,2.25,NULL,NULL,364.2,NULL,NULL,8.28,NULL,NULL,11.3,11.3,NULL,2.76,NULL,NULL,66.56,36.78,NULL
2020-01-01 04:15:00.000,2.26,NULL,NULL,363.8,NULL,NULL,8.27,NULL,NULL,11.3,11.3,NULL,2.73,NULL,NULL,66.5,36.72,NULL
2020-01-01 04:30:00.000,2.28,NULL,NULL,363.5,NULL,NULL,8.27,NULL,NULL,11.29,11.29,NULL,2.82,NULL,NULL,66.54,36.76,NULL
2020-01-01 04:45:00.000,2.25,NULL,NULL,363.3,NULL,NULL,8.27,NULL,NULL,11.3,11.3,NULL,3.08,NULL,NULL,66.63,36.85,NULL
2020-01-01 05:00:00.000,2.21,NULL,NULL,362.8,NULL,NULL,8.26,NULL,NULL,11.3,11.3,NULL,3.11,NULL,NULL,66.44,36.66,NULL
2020-01-01 05:15:00.000,2.21,NULL,NULL,362.7,NULL,NULL,8.26,NULL,NULL,11.29,11.29,NULL,3.02,NULL,NULL,66.44,36.66,NULL
2020-01-01 05:30:00.000,2.23,NULL,NULL,362.7,NULL,NULL,8.26,NULL,NULL,11.28,11.28,NULL,3,NULL,NULL,66.49,36.71,NULL
2020-01-01 05:45:00.000,2.23,NULL,NULL,362.5,NULL,NULL,8.26,NULL,NULL,11.28,11.28,NULL,2.93,NULL,NULL,66.6,36.82,NULL
2020-01-01 06:00:00.000,2.21,NULL,NULL,362.3,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.84,NULL,NULL,66.39,36.61,NULL
2020-01-01 06:15:00.000,2.14,NULL,NULL,361.8,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.81,NULL,NULL,66.38,36.6,NULL
2020-01-01 06:30:00.000,2.11,NULL,NULL,361.6,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.7,NULL,NULL,66.37,36.59,NULL
2020-01-01 06:45:00.000,2.09,NULL,NULL,361.5,NULL,NULL,8.25,NULL,NULL,11.3,11.3,NULL,2.56,NULL,NULL,66.49,36.71,NULL
2020-01-01 07:00:00.000,2.1,NULL,NULL,361.6,NULL,NULL,8.25,NULL,NULL,11.3,11.3,NULL,2.62,NULL,NULL,66.52,36.74,NULL
2020-01-01 07:15:00.000,2.13,NULL,NULL,361.7,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.55,NULL,NULL,66.5,36.72,NULL
2020-01-01 07:30:00.000,2.14,NULL,NULL,361.7,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.44,NULL,NULL,66.38,36.6,NULL
2020-01-01 07:45:00.000,2.13,NULL,NULL,361.9,NULL,NULL,8.24,NULL,NULL,11.28,11.28,NULL,2.37,NULL,NULL,66.44,36.66,NULL
2020-01-01 08:00:00.000,2.13,NULL,NULL,361.9,NULL,NULL,8.25,NULL,NULL,11.28,11.28,NULL,2.49,NULL,NULL,66.38,36.6,NULL
2020-01-01 08:15:00.000,2.13,NULL,NULL,362,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.7,NULL,NULL,66.39,36.61,NULL
2020-01-01 08:30:00.000,2.12,NULL,NULL,362,NULL,NULL,8.25,NULL,NULL,11.29,11.29,NULL,2.73,NULL,NULL,66.31,36.53,NULL
2020-01-01 08:45:00.000,2.13,NULL,NULL,362.1,NULL,NULL,8.25,NULL,NULL,11.3,11.3,NULL,2.95,NULL,NULL,66.33,36.55,NULL
2020-01-01 09:00:00.000,2.13,NULL,NULL,362.3,NULL,NULL,8.25,NULL,NULL,11.33,11.33,NULL,2.99,NULL,NULL,66.32,36.54,NULL
2020-01-01 09:15:00.000,2.13,NULL,NULL,362.4,NULL,NULL,8.26,NULL,NULL,11.37,11.37,NULL,2.96,NULL,NULL,66.34,36.56,NULL
2020-01-01 09:30:00.000,2.13,NULL,NULL,362.8,NULL,NULL,8.25,NULL,NULL,11.33,11.33,NULL,2.94,NULL,NULL,66.34,36.56,NULL
2020-01-01 09:45:00.000,2.14,NULL,NULL,363,NULL,NULL,8.26,NULL,NULL,11.39,11.39,NULL,2.94,NULL,NULL,66.31,36.53,NULL
2020-01-01 10:00:00.000,2.17,NULL,NULL,363.5,NULL,NULL,8.26,NULL,NULL,11.38,11.38,NULL,2.89,NULL,NULL,66.27,36.49,NULL
2020-01-01 10:15:00.000,2.2,NULL,NULL,363.9,NULL,NULL,8.26,NULL,NULL,11.39,11.39,NULL,2.79,NULL,NULL,66.29,36.51,NULL
2020-01-01 10:30:00.000,2.24,NULL,NULL,364.1,NULL,NULL,8.27,NULL,NULL,11.43,11.43,NULL,2.79,NULL,NULL,66.28,36.5,NULL
2020-01-01 10:45:00.000,2.27,NULL,NULL,364.6,NULL,NULL,8.27,NULL,NULL,11.45,11.45,NULL,2.87,NULL,NULL,66.28,36.5,NULL
2020-01-01 11:00:00.000,2.31,NULL,NULL,364.9,NULL,NULL,8.28,NULL,NULL,11.5,11.5,NULL,3,NULL,NULL,66.33,36.55,NULL
2020-01-01 11:15:00.000,2.32,NULL,NULL,365.1,NULL,NULL,8.28,NULL,NULL,11.48,11.48,NULL,2.93,NULL,NULL,66.16,36.38,NULL
2020-01-01 11:30:00.000,2.36,NULL,NULL,365.4,NULL,NULL,8.28,NULL,NULL,11.51,11.51,NULL,2.96,NULL,NULL,66.18,36.4,NULL
